chr	pos	LG	cM
Ha412HOChr01	63000001	01	14.02
Ha412HOChr01	64000001	01	14.22
Ha412HOChr01	65000001	01	14.48
Ha412HOChr01	66000001	01	15.07
Ha412HOChr01	67000001	01	16.06
Ha412HOChr01	68000001	01	16.64
Ha412HOChr01	69000001	01	16.72
Ha412HOChr01	70000001	01	16.79
Ha412HOChr01	71000001	01	16.92
Ha412HOChr01	72000001	01	17.12
Ha412HOChr01	73000001	01	17.82
Ha412HOChr01	74000001	01	19.36
Ha412HOChr01	75000001	01	21.15
Ha412HOChr01	76000001	01	22.57
Ha412HOChr01	77000001	01	23.16
Ha412HOChr01	78000001	01	23.4
Ha412HOChr01	79000001	01	23.64
Ha412HOChr01	80000001	01	24.12
Ha412HOChr01	81000001	01	25.16
Ha412HOChr01	82000001	01	25.78
Ha412HOChr01	83000001	01	25.84
Ha412HOChr01	84000001	01	25.84
Ha412HOChr01	85000001	01	25.84
Ha412HOChr01	86000001	01	25.84
Ha412HOChr01	87000001	01	25.84
Ha412HOChr01	88000001	01	26.16
Ha412HOChr01	89000001	01	26.51
Ha412HOChr01	90000001	01	26.81
Ha412HOChr01	91000001	01	27.27
Ha412HOChr01	92000001	01	28.03
Ha412HOChr01	93000001	01	28.94
Ha412HOChr01	94000001	01	29.23
Ha412HOChr01	95000001	01	29.38
Ha412HOChr01	96000001	01	29.7
Ha412HOChr01	97000001	01	29.84
Ha412HOChr01	98000001	01	29.84
Ha412HOChr01	99000001	01	29.85
Ha412HOChr01	100000001	01	29.89
Ha412HOChr01	101000001	01	29.94
Ha412HOChr01	102000001	01	29.97
Ha412HOChr01	103000001	01	29.97
Ha412HOChr01	104000001	01	29.97
Ha412HOChr01	105000001	01	30.01
Ha412HOChr01	106000001	01	30.28
Ha412HOChr01	107000001	01	30.65
Ha412HOChr01	108000001	01	31
Ha412HOChr01	109000001	01	31.19
Ha412HOChr01	110000001	01	31.28
Ha412HOChr01	111000001	01	31.32
Ha412HOChr01	112000001	01	31.39
Ha412HOChr01	113000001	01	31.46
Ha412HOChr01	114000001	01	31.9
Ha412HOChr01	115000001	01	32.25
Ha412HOChr01	116000001	01	32.29
Ha412HOChr01	117000001	01	32.29
Ha412HOChr01	118000001	01	32.29
Ha412HOChr01	119000001	01	32.29
Ha412HOChr01	120000001	01	32.29
Ha412HOChr01	121000001	01	32.29
Ha412HOChr01	122000001	01	32.29
Ha412HOChr01	123000001	01	32.29
Ha412HOChr01	124000001	01	32.29
Ha412HOChr01	125000001	01	32.29
Ha412HOChr01	126000001	01	32.29
Ha412HOChr01	127000001	01	32.29
Ha412HOChr01	128000001	01	32.29
Ha412HOChr01	129000001	01	32.29
Ha412HOChr01	130000001	01	32.29
Ha412HOChr01	131000001	01	32.34
Ha412HOChr01	132000001	01	32.86
Ha412HOChr01	133000001	01	33.4
Ha412HOChr01	134000001	01	33.88
Ha412HOChr01	135000001	01	34.4
Ha412HOChr01	136000001	01	34.8
Ha412HOChr01	137000001	01	35.67
Ha412HOChr01	138000001	01	36.47
Ha412HOChr01	139000001	01	36.86
Ha412HOChr01	140000001	01	37.99
Ha412HOChr01	141000001	01	39.75
Ha412HOChr01	142000001	01	41.24
Ha412HOChr01	143000001	01	42.49
Ha412HOChr01	144000001	01	43.6
Ha412HOChr01	145000001	01	44.97
Ha412HOChr01	146000001	01	46.83
Ha412HOChr01	147000001	01	47.96
Ha412HOChr01	148000001	01	48.76
Ha412HOChr01	149000001	01	51.47
Ha412HOChr01	150000001	01	54.98
Ha412HOChr01	151000001	01	57.55
Ha412HOChr01	152000001	01	60.31
Ha412HOChr01	153000001	01	63.48
Ha412HOChr01	154000001	01	66.93
Ha412HOChr01	155000001	01	70.45
Ha412HOChr01	156000001	01	73.63
Ha412HOChr01	157000001	01	76.14
Ha412HOChr01	158000001	01	77.97
Ha412HOChr01	159000001	01	78.98
Ha412HOChr01	159217232	01	79.16
Ha412HOChr02	1	02	0.01
Ha412HOChr02	1000001	02	0.31
Ha412HOChr02	2000001	02	1.32
Ha412HOChr02	3000001	02	2.63
Ha412HOChr02	4000001	02	3.77
Ha412HOChr02	5000001	02	4.42
Ha412HOChr02	6000001	02	4.68
Ha412HOChr02	7000001	02	4.99
Ha412HOChr02	8000001	02	6.04
Ha412HOChr02	9000001	02	8.11
Ha412HOChr02	10000001	02	10.21
Ha412HOChr02	11000001	02	11.24
Ha412HOChr02	12000001	02	12.15
Ha412HOChr02	13000001	02	13.87
Ha412HOChr02	14000001	02	16.19
Ha412HOChr02	15000001	02	18.87
Ha412HOChr02	16000001	02	21.59
Ha412HOChr02	17000001	02	23.49
Ha412HOChr02	18000001	02	24.23
Ha412HOChr02	19000001	02	24.88
Ha412HOChr02	20000001	02	25.78
Ha412HOChr02	21000001	02	26.64
Ha412HOChr02	22000001	02	27.18
Ha412HOChr02	23000001	02	27.67
Ha412HOChr02	24000001	02	28.53
Ha412HOChr02	25000001	02	29.03
Ha412HOChr02	26000001	02	29.12
Ha412HOChr02	27000001	02	29.12
Ha412HOChr02	28000001	02	29.12
Ha412HOChr02	29000001	02	29.12
Ha412HOChr02	30000001	02	29.21
Ha412HOChr02	31000001	02	29.39
Ha412HOChr02	32000001	02	29.61
Ha412HOChr02	33000001	02	29.88
Ha412HOChr02	34000001	02	30.17
Ha412HOChr02	35000001	02	30.48
Ha412HOChr02	36000001	02	30.79
Ha412HOChr02	37000001	02	31.09
Ha412HOChr02	38000001	02	31.37
Ha412HOChr02	39000001	02	31.62
Ha412HOChr02	40000001	02	31.83
Ha412HOChr02	41000001	02	31.99
Ha412HOChr02	42000001	02	32.07
Ha412HOChr02	43000001	02	32.09
Ha412HOChr02	44000001	02	32.09
Ha412HOChr02	45000001	02	32.09
Ha412HOChr02	46000001	02	32.09
Ha412HOChr02	47000001	02	32.09
Ha412HOChr02	48000001	02	32.09
Ha412HOChr02	49000001	02	32.09
Ha412HOChr02	50000001	02	32.09
Ha412HOChr02	51000001	02	32.09
Ha412HOChr02	52000001	02	32.09
Ha412HOChr02	53000001	02	32.09
Ha412HOChr02	54000001	02	32.09
Ha412HOChr02	55000001	02	32.09
Ha412HOChr02	56000001	02	32.09
Ha412HOChr02	57000001	02	32.24
Ha412HOChr02	58000001	02	32.51
Ha412HOChr02	59000001	02	32.71
Ha412HOChr02	60000001	02	32.82
Ha412HOChr02	61000001	02	32.85
Ha412HOChr02	62000001	02	32.85
Ha412HOChr02	63000001	02	32.85
Ha412HOChr02	64000001	02	32.85
Ha412HOChr02	65000001	02	32.85
Ha412HOChr02	66000001	02	32.85
Ha412HOChr02	67000001	02	32.85
Ha412HOChr02	68000001	02	32.85
Ha412HOChr02	69000001	02	32.85
Ha412HOChr02	70000001	02	32.85
Ha412HOChr02	71000001	02	32.85
Ha412HOChr02	72000001	02	32.85
Ha412HOChr02	73000001	02	32.85
Ha412HOChr02	74000001	02	32.85
Ha412HOChr02	75000001	02	32.85
Ha412HOChr02	76000001	02	32.85
Ha412HOChr02	77000001	02	32.85
Ha412HOChr02	78000001	02	32.85
Ha412HOChr02	79000001	02	32.85
Ha412HOChr02	80000001	02	32.85
Ha412HOChr02	81000001	02	32.85
Ha412HOChr02	82000001	02	32.85
Ha412HOChr02	83000001	02	32.85
Ha412HOChr02	84000001	02	32.85
Ha412HOChr02	85000001	02	32.85
Ha412HOChr02	86000001	02	32.85
Ha412HOChr02	87000001	02	32.85
Ha412HOChr02	88000001	02	32.85
Ha412HOChr02	89000001	02	32.85
Ha412HOChr02	90000001	02	32.85
Ha412HOChr02	91000001	02	32.85
Ha412HOChr02	92000001	02	32.85
Ha412HOChr02	93000001	02	32.85
Ha412HOChr02	94000001	02	32.85
Ha412HOChr02	95000001	02	32.85
Ha412HOChr02	96000001	02	32.85
Ha412HOChr02	97000001	02	32.85
Ha412HOChr02	98000001	02	32.85
Ha412HOChr02	99000001	02	32.85
Ha412HOChr02	100000001	02	32.85
Ha412HOChr02	101000001	02	32.85
Ha412HOChr02	102000001	02	32.85
Ha412HOChr02	103000001	02	32.85
Ha412HOChr02	104000001	02	32.85
Ha412HOChr02	105000001	02	32.85
Ha412HOChr02	106000001	02	32.85
Ha412HOChr02	107000001	02	32.85
Ha412HOChr02	108000001	02	32.85
Ha412HOChr02	109000001	02	32.85
Ha412HOChr02	110000001	02	32.85
Ha412HOChr02	111000001	02	32.85
Ha412HOChr02	112000001	02	32.85
Ha412HOChr02	113000001	02	32.85
Ha412HOChr02	114000001	02	32.85
Ha412HOChr02	115000001	02	32.85
Ha412HOChr02	116000001	02	32.85
Ha412HOChr02	117000001	02	32.85
Ha412HOChr02	118000001	02	32.85
Ha412HOChr02	119000001	02	32.85
Ha412HOChr02	120000001	02	32.85
Ha412HOChr02	121000001	02	32.85
Ha412HOChr02	122000001	02	33.01
Ha412HOChr02	123000001	02	33.09
Ha412HOChr02	124000001	02	33.09
Ha412HOChr02	125000001	02	33.09
Ha412HOChr02	126000001	02	33.11
Ha412HOChr02	127000001	02	33.36
Ha412HOChr02	128000001	02	33.77
Ha412HOChr02	129000001	02	34.21
Ha412HOChr02	130000001	02	34.55
Ha412HOChr02	131000001	02	34.68
Ha412HOChr02	132000001	02	34.71
Ha412HOChr02	133000001	02	34.71
Ha412HOChr02	134000001	02	34.71
Ha412HOChr02	135000001	02	34.71
Ha412HOChr02	136000001	02	34.71
Ha412HOChr02	137000001	02	34.71
Ha412HOChr02	138000001	02	34.71
Ha412HOChr02	139000001	02	34.72
Ha412HOChr02	140000001	02	34.98
Ha412HOChr02	141000001	02	35.3
Ha412HOChr02	142000001	02	35.64
Ha412HOChr02	143000001	02	35.96
Ha412HOChr02	144000001	02	36.2
Ha412HOChr02	145000001	02	36.3
Ha412HOChr02	146000001	02	36.3
Ha412HOChr02	147000001	02	36.3
Ha412HOChr02	148000001	02	36.32
Ha412HOChr02	149000001	02	36.46
Ha412HOChr02	150000001	02	36.69
Ha412HOChr02	151000001	02	36.97
Ha412HOChr02	152000001	02	37.32
Ha412HOChr02	153000001	02	37.7
Ha412HOChr02	154000001	02	38.11
Ha412HOChr02	155000001	02	38.58
Ha412HOChr02	156000001	02	39.48
Ha412HOChr02	157000001	02	40.6
Ha412HOChr02	158000001	02	41.36
Ha412HOChr02	159000001	02	41.7
Ha412HOChr02	160000001	02	41.95
Ha412HOChr02	161000001	02	42.15
Ha412HOChr02	162000001	02	42.15
Ha412HOChr02	163000001	02	42.15
Ha412HOChr02	164000001	02	42.15
Ha412HOChr02	165000001	02	42.73
Ha412HOChr02	166000001	02	43.35
Ha412HOChr02	167000001	02	43.81
Ha412HOChr02	168000001	02	44.23
Ha412HOChr02	169000001	02	44.44
Ha412HOChr02	170000001	02	44.53
Ha412HOChr02	171000001	02	44.69
Ha412HOChr02	172000001	02	45.26
Ha412HOChr02	173000001	02	46.29
Ha412HOChr02	174000001	02	47.49
Ha412HOChr02	175000001	02	48.39
Ha412HOChr02	176000001	02	49.81
Ha412HOChr02	177000001	02	52.27
Ha412HOChr02	178000001	02	54.95
Ha412HOChr02	179000001	02	58.86
Ha412HOChr02	180000001	02	64.3
Ha412HOChr02	181000001	02	69.7
Ha412HOChr02	182000001	02	73.76
Ha412HOChr02	183000001	02	77.21
Ha412HOChr02	184000001	02	81.95
Ha412HOChr02	184765313	02	85.94
Ha412HOChr03	1	03	0.01
Ha412HOChr03	1000001	03	0.01
Ha412HOChr03	2000001	03	2.93
Ha412HOChr03	3000001	03	6.05
Ha412HOChr03	4000001	03	8.54
Ha412HOChr03	5000001	03	10.29
Ha412HOChr03	6000001	03	11.98
Ha412HOChr03	7000001	03	13.47
Ha412HOChr03	8000001	03	15.1
Ha412HOChr03	9000001	03	16.32
Ha412HOChr03	10000001	03	17.42
Ha412HOChr03	11000001	03	18.78
Ha412HOChr03	12000001	03	20.73
Ha412HOChr03	13000001	03	22.6
Ha412HOChr03	14000001	03	23.71
Ha412HOChr03	15000001	03	24.18
Ha412HOChr03	16000001	03	24.24
Ha412HOChr03	17000001	03	24.24
Ha412HOChr03	18000001	03	24.24
Ha412HOChr03	19000001	03	24.79
Ha412HOChr03	20000001	03	25.8
Ha412HOChr03	21000001	03	26.38
Ha412HOChr03	22000001	03	26.67
Ha412HOChr03	23000001	03	26.87
Ha412HOChr03	24000001	03	26.89
Ha412HOChr03	25000001	03	26.96
Ha412HOChr03	26000001	03	27.24
Ha412HOChr03	27000001	03	27.74
Ha412HOChr03	28000001	03	28.43
Ha412HOChr03	29000001	03	28.96
Ha412HOChr03	30000001	03	29.07
Ha412HOChr03	31000001	03	29.07
Ha412HOChr03	32000001	03	29.07
Ha412HOChr03	33000001	03	29.07
Ha412HOChr03	34000001	03	29.15
Ha412HOChr03	35000001	03	29.22
Ha412HOChr03	36000001	03	29.29
Ha412HOChr03	37000001	03	29.35
Ha412HOChr03	38000001	03	29.4
Ha412HOChr03	39000001	03	29.44
Ha412HOChr03	40000001	03	29.47
Ha412HOChr03	41000001	03	29.5
Ha412HOChr03	42000001	03	29.52
Ha412HOChr03	43000001	03	29.54
Ha412HOChr03	44000001	03	29.55
Ha412HOChr03	45000001	03	29.56
Ha412HOChr03	46000001	03	29.57
Ha412HOChr03	47000001	03	29.57
Ha412HOChr03	48000001	03	29.57
Ha412HOChr03	49000001	03	29.57
Ha412HOChr03	50000001	03	29.57
Ha412HOChr03	51000001	03	29.57
Ha412HOChr03	52000001	03	29.57
Ha412HOChr03	53000001	03	29.57
Ha412HOChr03	54000001	03	29.57
Ha412HOChr03	55000001	03	29.57
Ha412HOChr03	56000001	03	29.57
Ha412HOChr03	57000001	03	29.57
Ha412HOChr03	58000001	03	29.58
Ha412HOChr03	59000001	03	29.6
Ha412HOChr03	60000001	03	29.62
Ha412HOChr03	61000001	03	29.63
Ha412HOChr03	62000001	03	29.63
Ha412HOChr03	63000001	03	29.63
Ha412HOChr03	64000001	03	29.63
Ha412HOChr03	65000001	03	29.63
Ha412HOChr03	66000001	03	29.63
Ha412HOChr03	67000001	03	29.63
Ha412HOChr03	68000001	03	29.63
Ha412HOChr03	69000001	03	29.63
Ha412HOChr03	70000001	03	29.63
Ha412HOChr03	71000001	03	29.63
Ha412HOChr03	72000001	03	29.63
Ha412HOChr03	73000001	03	29.63
Ha412HOChr03	74000001	03	29.63
Ha412HOChr03	75000001	03	29.64
Ha412HOChr03	76000001	03	29.67
Ha412HOChr03	77000001	03	29.68
Ha412HOChr03	78000001	03	29.68
Ha412HOChr03	79000001	03	29.68
Ha412HOChr03	80000001	03	29.68
Ha412HOChr03	81000001	03	29.68
Ha412HOChr03	82000001	03	29.68
Ha412HOChr03	83000001	03	29.68
Ha412HOChr03	84000001	03	29.68
Ha412HOChr03	85000001	03	29.68
Ha412HOChr03	86000001	03	29.68
Ha412HOChr03	87000001	03	29.68
Ha412HOChr03	88000001	03	29.68
Ha412HOChr03	89000001	03	29.68
Ha412HOChr03	90000001	03	29.68
Ha412HOChr03	91000001	03	29.68
Ha412HOChr03	92000001	03	29.68
Ha412HOChr03	93000001	03	29.68
Ha412HOChr03	94000001	03	29.87
Ha412HOChr03	95000001	03	30.06
Ha412HOChr03	96000001	03	30.11
Ha412HOChr03	97000001	03	30.11
Ha412HOChr03	98000001	03	30.11
Ha412HOChr03	99000001	03	30.11
Ha412HOChr03	100000001	03	30.11
Ha412HOChr03	101000001	03	30.13
Ha412HOChr03	102000001	03	30.34
Ha412HOChr03	103000001	03	30.59
Ha412HOChr03	104000001	03	30.67
Ha412HOChr03	105000001	03	30.67
Ha412HOChr03	106000001	03	30.67
Ha412HOChr03	107000001	03	30.67
Ha412HOChr03	108000001	03	30.67
Ha412HOChr03	109000001	03	31.03
Ha412HOChr03	110000001	03	31.54
Ha412HOChr03	111000001	03	31.77
Ha412HOChr03	112000001	03	31.8
Ha412HOChr03	113000001	03	31.8
Ha412HOChr03	114000001	03	31.8
Ha412HOChr03	115000001	03	31.8
Ha412HOChr03	116000001	03	31.8
Ha412HOChr03	117000001	03	31.8
Ha412HOChr03	118000001	03	31.8
Ha412HOChr03	119000001	03	31.8
Ha412HOChr03	120000001	03	31.8
Ha412HOChr03	121000001	03	31.8
Ha412HOChr03	122000001	03	32.04
Ha412HOChr03	123000001	03	32.38
Ha412HOChr03	124000001	03	32.81
Ha412HOChr03	125000001	03	33.32
Ha412HOChr03	126000001	03	33.88
Ha412HOChr03	127000001	03	34.46
Ha412HOChr03	128000001	03	35.03
Ha412HOChr03	129000001	03	35.56
Ha412HOChr03	130000001	03	36.03
Ha412HOChr03	131000001	03	36.39
Ha412HOChr03	132000001	03	36.63
Ha412HOChr03	133000001	03	36.71
Ha412HOChr03	134000001	03	36.71
Ha412HOChr03	135000001	03	36.71
Ha412HOChr03	136000001	03	36.71
Ha412HOChr03	137000001	03	36.9
Ha412HOChr03	138000001	03	37.09
Ha412HOChr03	139000001	03	37.31
Ha412HOChr03	140000001	03	37.74
Ha412HOChr03	141000001	03	38.21
Ha412HOChr03	142000001	03	38.57
Ha412HOChr03	143000001	03	38.7
Ha412HOChr03	144000001	03	38.71
Ha412HOChr03	145000001	03	38.76
Ha412HOChr03	146000001	03	38.96
Ha412HOChr03	147000001	03	39.15
Ha412HOChr03	148000001	03	39.37
Ha412HOChr03	149000001	03	39.93
Ha412HOChr03	150000001	03	40.55
Ha412HOChr03	151000001	03	40.8
Ha412HOChr03	152000001	03	40.83
Ha412HOChr03	153000001	03	40.95
Ha412HOChr03	154000001	03	41.56
Ha412HOChr03	155000001	03	42.54
Ha412HOChr03	156000001	03	43.32
Ha412HOChr03	157000001	03	43.66
Ha412HOChr03	158000001	03	44.14
Ha412HOChr03	159000001	03	44.87
Ha412HOChr03	160000001	03	45.58
Ha412HOChr03	161000001	03	46.04
Ha412HOChr03	162000001	03	46.25
Ha412HOChr03	163000001	03	46.25
Ha412HOChr03	164000001	03	46.25
Ha412HOChr03	165000001	03	46.25
Ha412HOChr03	166000001	03	46.25
Ha412HOChr03	167000001	03	46.25
Ha412HOChr03	168000001	03	46.36
Ha412HOChr03	169000001	03	47.26
Ha412HOChr03	170000001	03	48.46
Ha412HOChr03	171000001	03	49.46
Ha412HOChr03	172000001	03	50.55
Ha412HOChr03	173000001	03	52.2
Ha412HOChr03	174000001	03	54.29
Ha412HOChr03	175000001	03	56.67
Ha412HOChr03	176000001	03	59.98
Ha412HOChr03	177000001	03	63.63
Ha412HOChr03	178000001	03	67.48
Ha412HOChr03	179000001	03	70.99
Ha412HOChr03	180000001	03	73.59
Ha412HOChr03	181000001	03	75.33
Ha412HOChr03	182000001	03	76.54
Ha412HOChr03	182121094	03	76.68
Ha412HOChr04	1	04	0.01
Ha412HOChr04	1000001	04	1.86
Ha412HOChr04	2000001	04	6.46
Ha412HOChr04	3000001	04	10.18
Ha412HOChr04	4000001	04	13.05
Ha412HOChr04	5000001	04	17.02
Ha412HOChr04	6000001	04	22.12
Ha412HOChr04	7000001	04	26.49
Ha412HOChr04	8000001	04	28.9
Ha412HOChr04	9000001	04	29.6
Ha412HOChr04	10000001	04	30
Ha412HOChr04	11000001	04	30.1
Ha412HOChr04	12000001	04	30.21
Ha412HOChr04	13000001	04	30.8
Ha412HOChr04	14000001	04	31.72
Ha412HOChr04	15000001	04	32.67
Ha412HOChr04	16000001	04	33.69
Ha412HOChr04	17000001	04	35.9
Ha412HOChr04	18000001	04	38.91
Ha412HOChr04	19000001	04	41.45
Ha412HOChr04	20000001	04	42.68
Ha412HOChr04	21000001	04	43.02
Ha412HOChr04	22000001	04	43.13
Ha412HOChr04	23000001	04	43.34
Ha412HOChr04	24000001	04	43.72
Ha412HOChr04	25000001	04	44.23
Ha412HOChr04	26000001	04	44.74
Ha412HOChr04	27000001	04	45.21
Ha412HOChr04	28000001	04	45.59
Ha412HOChr04	29000001	04	45.87
Ha412HOChr04	30000001	04	46.14
Ha412HOChr04	31000001	04	46.33
Ha412HOChr04	32000001	04	46.43
Ha412HOChr04	33000001	04	46.5
Ha412HOChr04	34000001	04	46.6
Ha412HOChr04	35000001	04	46.76
Ha412HOChr04	36000001	04	46.95
Ha412HOChr04	37000001	04	47.15
Ha412HOChr04	38000001	04	47.45
Ha412HOChr04	39000001	04	47.57
Ha412HOChr04	40000001	04	47.61
Ha412HOChr04	41000001	04	47.84
Ha412HOChr04	42000001	04	48.37
Ha412HOChr04	43000001	04	48.65
Ha412HOChr04	44000001	04	48.67
Ha412HOChr04	45000001	04	48.67
Ha412HOChr04	46000001	04	48.67
Ha412HOChr04	47000001	04	48.67
Ha412HOChr04	48000001	04	48.67
Ha412HOChr04	49000001	04	48.67
Ha412HOChr04	50000001	04	48.67
Ha412HOChr04	51000001	04	48.7
Ha412HOChr04	52000001	04	49.16
Ha412HOChr04	53000001	04	49.98
Ha412HOChr04	54000001	04	50.5
Ha412HOChr04	55000001	04	50.55
Ha412HOChr04	56000001	04	50.55
Ha412HOChr04	57000001	04	50.55
Ha412HOChr04	58000001	04	50.55
Ha412HOChr04	59000001	04	50.55
Ha412HOChr04	60000001	04	50.55
Ha412HOChr04	61000001	04	50.55
Ha412HOChr04	62000001	04	50.55
Ha412HOChr04	63000001	04	50.55
Ha412HOChr04	64000001	04	50.55
Ha412HOChr04	65000001	04	50.55
Ha412HOChr04	66000001	04	50.55
Ha412HOChr04	67000001	04	50.55
Ha412HOChr04	68000001	04	50.55
Ha412HOChr04	69000001	04	50.55
Ha412HOChr04	70000001	04	50.55
Ha412HOChr04	71000001	04	50.55
Ha412HOChr04	72000001	04	50.55
Ha412HOChr04	73000001	04	50.55
Ha412HOChr04	74000001	04	50.55
Ha412HOChr04	75000001	04	50.55
Ha412HOChr04	76000001	04	50.55
Ha412HOChr04	77000001	04	50.55
Ha412HOChr04	78000001	04	50.55
Ha412HOChr04	79000001	04	50.55
Ha412HOChr04	80000001	04	50.55
Ha412HOChr04	81000001	04	50.56
Ha412HOChr04	82000001	04	50.57
Ha412HOChr04	83000001	04	50.59
Ha412HOChr04	84000001	04	50.6
Ha412HOChr04	85000001	04	50.62
Ha412HOChr04	86000001	04	50.65
Ha412HOChr04	87000001	04	50.68
Ha412HOChr04	88000001	04	50.71
Ha412HOChr04	89000001	04	50.75
Ha412HOChr04	90000001	04	50.78
Ha412HOChr04	91000001	04	50.81
Ha412HOChr04	92000001	04	50.84
Ha412HOChr04	93000001	04	50.86
Ha412HOChr04	94000001	04	50.88
Ha412HOChr04	95000001	04	50.89
Ha412HOChr04	96000001	04	50.9
Ha412HOChr04	97000001	04	50.91
Ha412HOChr04	98000001	04	50.91
Ha412HOChr04	99000001	04	50.91
Ha412HOChr04	100000001	04	50.91
Ha412HOChr04	101000001	04	50.91
Ha412HOChr04	102000001	04	50.91
Ha412HOChr04	103000001	04	50.91
Ha412HOChr04	104000001	04	50.91
Ha412HOChr04	105000001	04	50.91
Ha412HOChr04	106000001	04	50.91
Ha412HOChr04	107000001	04	50.91
Ha412HOChr04	108000001	04	50.91
Ha412HOChr04	109000001	04	50.91
Ha412HOChr04	110000001	04	50.91
Ha412HOChr04	111000001	04	50.91
Ha412HOChr04	112000001	04	50.91
Ha412HOChr04	113000001	04	50.91
Ha412HOChr04	114000001	04	50.91
Ha412HOChr04	115000001	04	50.91
Ha412HOChr04	116000001	04	50.91
Ha412HOChr04	117000001	04	50.91
Ha412HOChr04	118000001	04	50.91
Ha412HOChr04	119000001	04	50.91
Ha412HOChr04	120000001	04	50.91
Ha412HOChr04	121000001	04	50.91
Ha412HOChr04	122000001	04	50.91
Ha412HOChr04	123000001	04	50.91
Ha412HOChr04	124000001	04	50.91
Ha412HOChr04	125000001	04	50.91
Ha412HOChr04	126000001	04	50.91
Ha412HOChr04	127000001	04	50.91
Ha412HOChr04	128000001	04	50.91
Ha412HOChr04	129000001	04	50.91
Ha412HOChr04	130000001	04	50.91
Ha412HOChr04	131000001	04	50.91
Ha412HOChr04	132000001	04	50.91
Ha412HOChr04	133000001	04	50.91
Ha412HOChr04	134000001	04	50.91
Ha412HOChr04	135000001	04	50.91
Ha412HOChr04	136000001	04	50.91
Ha412HOChr04	137000001	04	50.91
Ha412HOChr04	138000001	04	50.91
Ha412HOChr04	139000001	04	50.91
Ha412HOChr04	140000001	04	50.91
Ha412HOChr04	141000001	04	50.91
Ha412HOChr04	142000001	04	50.91
Ha412HOChr04	143000001	04	50.91
Ha412HOChr04	144000001	04	50.91
Ha412HOChr04	145000001	04	50.91
Ha412HOChr04	146000001	04	50.91
Ha412HOChr04	147000001	04	50.91
Ha412HOChr04	148000001	04	51.03
Ha412HOChr04	149000001	04	51.13
Ha412HOChr04	150000001	04	51.13
Ha412HOChr04	151000001	04	51.13
Ha412HOChr04	152000001	04	51.15
Ha412HOChr04	153000001	04	51.15
Ha412HOChr04	154000001	04	51.15
Ha412HOChr04	155000001	04	51.15
Ha412HOChr04	156000001	04	51.15
Ha412HOChr04	157000001	04	51.15
Ha412HOChr04	158000001	04	51.15
Ha412HOChr04	159000001	04	51.39
Ha412HOChr04	160000001	04	51.83
Ha412HOChr04	161000001	04	52.1
Ha412HOChr04	162000001	04	52.28
Ha412HOChr04	163000001	04	52.65
Ha412HOChr04	164000001	04	53
Ha412HOChr04	165000001	04	53.17
Ha412HOChr04	166000001	04	53.26
Ha412HOChr04	167000001	04	53.28
