group	start	end	chr	spe	species	dataset	mds
1	147947071	149109754	Ha412HOChr13	petpet	Petiolaris	petpet	pos6
1	135376473	144002322	Ha412HOChr14	petpet	Petiolaris	petpet	neg1
1	6481680	10666924	Ha412HOChr16	petpet	Petiolaris	petpet	pos2
1	61041906	103274437	Ha412HOChr16	petpet	Petiolaris	petpet	neg1
2	110846338	113304606	Ha412HOChr16	petpet	Petiolaris	petpet	neg1
3	132364973	134045524	Ha412HOChr16	petpet	Petiolaris	petpet	neg1
1	39484071	68196212	Ha412HOChr17	petpet	Petiolaris	petpet	pos1
1	11688652	22552796	Ha412HOChr17	petpet	Petiolaris	petpet	neg1
1	194134669	204157087	Ha412HOChr17	petpet	Petiolaris	petpet	neg3
2	204279632	204409363	Ha412HOChr17	petpet	Petiolaris	petpet	neg3
3	204693877	204751769	Ha412HOChr17	petpet	Petiolaris	petpet	neg3
1	310951	12609141	Ha412HOChr01	petfal	Petiolaris	petfal	neg1
2	90815284	98571815	Ha412HOChr01	petfal	Petiolaris	petfal	neg1
1	154541712	154721601	Ha412HOChr05	petfal	Petiolaris	petfal	neg1
2	155829994	156343352	Ha412HOChr05	petfal	Petiolaris	petfal	neg1
3	156989835	179841131	Ha412HOChr05	petfal	Petiolaris	petfal	neg1
4	182120488	185737096	Ha412HOChr05	petfal	Petiolaris	petfal	neg1
1	56219803	78748574	Ha412HOChr06	petfal	Petiolaris	petfal	pos1
1	116787328	130545045	Ha412HOChr07	petfal	Petiolaris	petfal	pos1
1	105308630	122623536	Ha412HOChr09	petfal	Petiolaris	petfal	neg1
2	128856133	140632242	Ha412HOChr09	petfal	Petiolaris	petfal	neg1
1	293669	299675	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
2	384092	499852	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
3	1235691	1268588	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
4	1716092	10708431	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
5	11147579	13216379	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
6	13230765	14398715	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
1	3582623	65747305	Ha412HOChr11	petfal	Petiolaris	petfal	pos1
1	101671847	171067734	Ha412HOChr14	petfal	Petiolaris	petfal	pos1
1	6566825	23262121	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
10	206419062	210181068	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
11	214469811	216210523	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
12	216448563	216569957	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
13	216654211	217103619	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
14	217608231	217617390	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
15	218176281	218224144	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
2	34379628	45760629	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
3	69141022	69300799	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
4	90030717	90927508	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
5	108631478	112509280	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
6	118370912	118376238	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
7	120287065	121587849	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
8	123753242	123760902	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
9	137513538	147855628	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
1	12354700	22516879	Ha412HOChr17	petfal	Petiolaris	petfal	pos2
1	188458401	203775207	Ha412HOChr17	petfal	Petiolaris	petfal	pos3
2	204176880	204410173	Ha412HOChr17	petfal	Petiolaris	petfal	pos3
3	204714679	204747520	Ha412HOChr17	petfal	Petiolaris	petfal	pos3
