group	start	end	chr	spe	species	dataset	mds
2	384092	499852	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
3	1235691	1268588	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
4	1716092	1776585	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
5	1845471	14398715	Ha412HOChr10	petfal	Petiolaris	petfal	neg1
1	3582623	65747305	Ha412HOChr11	petfal	Petiolaris	petfal	pos1
1	101671847	171067734	Ha412HOChr14	petfal	Petiolaris	petfal	pos1
1	6566825	23262121	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
10	206419062	210181068	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
11	212077689	212145071	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
12	214469811	215512235	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
13	215796657	215824755	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
14	216448563	216569957	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
15	216654211	217103619	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
16	217608231	217617390	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
17	218176281	218224144	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
2	34379628	45760629	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
3	69141022	69300799	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
4	90030717	90927508	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
5	108631478	112509280	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
6	118370912	118376238	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
7	118617269	122506810	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
8	123753242	123760902	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
9	137513538	147855628	Ha412HOChr16	petfal	Petiolaris	petfal	pos1
1	12354700	22516879	Ha412HOChr17	petfal	Petiolaris	petfal	pos2
1	188458401	203655689	Ha412HOChr17	petfal	Petiolaris	petfal	pos3
2	203677179	203718262	Ha412HOChr17	petfal	Petiolaris	petfal	pos3
3	203770587	203775207	Ha412HOChr17	petfal	Petiolaris	petfal	pos3
4	204176880	204410173	Ha412HOChr17	petfal	Petiolaris	petfal	pos3
5	204714679	204747520	Ha412HOChr17	petfal	Petiolaris	petfal	pos3
1	180352	12606603	Ha412HOChr01	petiolaris	Petiolaris	petPF	neg1
2	91300807	98570840	Ha412HOChr01	petiolaris	Petiolaris	petPF	neg1
1	156991250	179857020	Ha412HOChr05	petiolaris	Petiolaris	petPF	neg1
2	180691185	180982640	Ha412HOChr05	petiolaris	Petiolaris	petPF	neg1
3	182122966	185752986	Ha412HOChr05	petiolaris	Petiolaris	petPF	neg1
1	56321447	78749603	Ha412HOChr06	petiolaris	Petiolaris	petPF	neg2
1	116413080	129389429	Ha412HOChr07	petiolaris	Petiolaris	petPF	neg2
1	86786672	94581640	Ha412HOChr08	petiolaris	Petiolaris	petPF	pos2
1	105308263	122625346	Ha412HOChr09	petiolaris	Petiolaris	petPF	neg1
2	129065370	140635225	Ha412HOChr09	petiolaris	Petiolaris	petPF	neg1
3	165359741	165362667	Ha412HOChr09	petiolaris	Petiolaris	petPF	neg1
1	3320576	65746878	Ha412HOChr11	petiolaris	Petiolaris	petPF	pos1
1	98475810	171068709	Ha412HOChr14	petiolaris	Petiolaris	petPF	pos1
1	135457992	143982507	Ha412HOChr14	petiolaris	Petiolaris	petPF	pos2
2	182372684	182432808	Ha412HOChr14	petiolaris	Petiolaris	petPF	pos2
1	6621035	10170284	Ha412HOChr16	petiolaris	Petiolaris	petPF	pos3
2	125350675	125412069	Ha412HOChr16	petiolaris	Petiolaris	petPF	pos3
1	11688320	22678243	Ha412HOChr17	petiolaris	Petiolaris	petPF	pos1
1	20939289	22018520	Ha412HOChr05	niveus	Niveus	gwas	neg1
1	33117053	35902044	Ha412HOChr06	niveus	Niveus	gwas	neg3
1	118751618	120644569	Ha412HOChr07	niveus	Niveus	gwas	neg3
1	132265009	140673849	Ha412HOChr08	niveus	Niveus	gwas	pos1
1	28953514	30717434	Ha412HOChr10	niveus	Niveus	gwas	neg4
1	5965344	5975572	Ha412HOChr15	niveus	Niveus	gwas	neg1
2	18177505	50849323	Ha412HOChr15	niveus	Niveus	gwas	neg1
3	78248653	155222079	Ha412HOChr15	niveus	Niveus	gwas	neg1
4	171575373	176990035	Ha412HOChr15	niveus	Niveus	gwas	neg1
1	186804315	197517893	Ha412HOChr17	niveus	Niveus	gwas	neg1
2	203653382	203736091	Ha412HOChr17	niveus	Niveus	gwas	neg1
3	204696413	205491115	Ha412HOChr17	niveus	Niveus	gwas	neg1
