group	start	end	chr	spe	species	dataset	mds
12	214469811	215512235	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
13	215796657	215824755	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
14	216448563	216569957	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
15	216654211	217103619	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
16	217608231	217617390	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
17	218176281	218224144	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
2	34379628	45760629	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
3	69141022	69300799	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
4	90030717	90927508	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
5	108631478	112509280	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
6	118370912	118376238	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
7	118617269	122506810	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
8	123753242	123760902	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
9	137513538	147855628	Ha412HOChr16	petiolaris	Petiolaris	gwas	syn2
1	11688320	22678243	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn1
1	39484071	68196212	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn2
1	188458401	203655689	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn3
2	203677179	203718262	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn3
3	203770587	203775207	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn3
4	204176880	204410173	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn3
5	204714679	204747520	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn3
1	194134669	203768215	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn4
2	204279632	204409363	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn4
3	204693877	204751769	Ha412HOChr17	petiolaris	Petiolaris	gwas	syn4
1	20939289	22018520	Ha412HOChr05	niveus	Niveus	gwas	neg1
1	33117053	35902044	Ha412HOChr06	niveus	Niveus	gwas	neg3
1	118751618	120644569	Ha412HOChr07	niveus	Niveus	gwas	neg3
1	132265009	140673849	Ha412HOChr08	niveus	Niveus	gwas	pos1
1	28953514	30717434	Ha412HOChr10	niveus	Niveus	gwas	neg4
1	5965344	5975572	Ha412HOChr15	niveus	Niveus	gwas	neg1
2	18177505	50849323	Ha412HOChr15	niveus	Niveus	gwas	neg1
3	78248653	155222079	Ha412HOChr15	niveus	Niveus	gwas	neg1
4	171575373	176990035	Ha412HOChr15	niveus	Niveus	gwas	neg1
1	186804315	197517893	Ha412HOChr17	niveus	Niveus	gwas	neg1
2	203653382	203736091	Ha412HOChr17	niveus	Niveus	gwas	neg1
3	204696413	205491115	Ha412HOChr17	niveus	Niveus	gwas	neg1
