Scaffold ID, scaffold position, LG, genetic position
Ha412HOChr05,185111021,5,83.00
Ha412HOChr12,27542773,12,41.72
Ha412HOChr10,21979242,10,28.72
Ha412HOChr08,95356792,8,56.03
Ha412HOChr16,144570798,16,53.30
Ha412HOChr14,120683217,14,13.32
Ha412HOChr11,193132853,11,89.23
Ha412HOChr12,45986788,12,48.16
Ha412HOChr04,446233,4,2.29
Ha412HOChr13,174877655,13,95.13
Ha412HOChr01,96459495,1,27.20
Ha412HOChr04,25794058,4,34.08
Ha412HOChr12,43973917,8,34.73
Ha412HOChr02,21260499,2,16.82
Ha412HOChr09,191491066,9,64.55
Ha412HOChr16,985138,16,0.11
Ha412HOChr14,187873414,14,73.72
Ha412HOChr06,46681624,6,63.02
Ha412HOChr15,52590190,15,50.02
Ha412HOChr05,163555877,5,43.14
Ha412HOChr17,70143526,5,43.14
Ha412HOChr17,2068946,17,2.73
Ha412HOChr11,50268310,11,47.18
Ha412HOChr06,16019316,1,37.46
Ha412HOChr13,172394544,13,84.10
Ha412HOChr01,136830374,1,37.46
Ha412HOChr12,12406340,10,45.00
Ha412HOChr16,8523172,16,25.23
Ha412HOChr01,114605634,1,29.93
Ha412HOChr11,189892270,11,75.25
Ha412HOChr05,5854926,5,10.81
Ha412HOChr08,86123162,8,51.66
Ha412HOChr06,26501316,6,53.73
Ha412HOChr01,6839036,1,10.16
Ha412HOChr02,30459846,2,21.41
Ha412HOChr15,134673435,15,75.14
Ha412HOChr07,111304949,7,12.45
Ha412HOChr08,9626105,8,25.88
Ha412HOChr16,45756820,16,46.64
Ha412HOChr10,189695603,12,5.46
Ha412HOChr08,8188101,8,20.64
Ha412HOChr12,176542949,12,63.46
Ha412HOChr04,33261892,4,37.57
Ha412HOChr06,14524708,6,41.17
Ha412HOChr06,47845729,6,63.02
Ha412HOChr15,117168763,15,68.48
Ha412HOChr05,40428351,5,32.00
Ha412HOChr13,174463406,13,94.25
Ha412HOChr07,161444941,7,71.97
Ha412HOChr17,191312828,17,64.66
Ha412HOChr05,136587472,5,36.70
Ha412HOChr04,216491616,4,82.68
Ha412HOChr04,4374519,4,15.40
Ha412HOChr01,1707403,1,2.08
Ha412HOChr08,79149201,8,49.37
Ha412HOChr02,125353028,2,25.23
Ha412HOChr06,38078260,6,59.30
Ha412HOChr09,3418389,9,0.00
Ha412HOChr13,142643058,11,41.28
Ha412HOChr01,53265115,1,12.12
Ha412HOChr02,64332126,2,24.79
Ha412HOChr01,1098358,1,0.00
Ha412HOChr06,80120065,6,65.53
Ha412HOChr01,47085401,1,11.03
Ha412HOChr12,44019444,8,34.73
Ha412HOChr09,159679308,9,45.54
Ha412HOChr09,50172330,9,21.73
Ha412HOChr07,149305576,7,27.96
Ha412HOChr13,171113241,13,78.75
Ha412HOChr04,191281817,4,49.80
Ha412HOChr08,91390352,8,54.50
Ha412HOChr16,188229593,16,64.11
Ha412HOChr10,26603197,10,32.44
Ha412HOChr17,1309190,17,0.33
Ha412HOChr05,104960998,9,44.01
Ha412HOChr10,124241109,10,37.02
Ha412HOChr08,73847131,8,48.71
Ha412HOChr16,185674676,16,62.69
Ha412HOChr08,117703809,8,62.91
Ha412HOChr01,126727360,1,32.44
Ha412HOChr10,10076205,10,18.46
Ha412HOChr04,198513220,4,53.19
Ha412HOChr08,175878660,8,67.50
Ha412HOChr03,103965759,3,29.60
Ha412HOChr07,1247612,7,0.00
Ha412HOChr01,114606027,1,29.93
Ha412HOChr17,7007501,17,26.98
Ha412HOChr09,134127904,9,32.87
Ha412HOChr05,179624284,5,59.41
Ha412HOChr15,10810510,15,30.25
Ha412HOChr01,57287551,1,13.22
Ha412HOChr07,153324657,7,42.05
Ha412HOChr09,50892165,9,22.17
Ha412HOChr02,37642108,2,22.72
Ha412HOChr15,54091570,15,50.02
Ha412HOChr05,23303189,5,30.36
Ha412HOChr10,157852655,10,40.08
Ha412HOChr03,175433832,3,74.38
Ha412HOChr11,26163594,11,39.97
Ha412HOChr16,206705108,16,80.17
Ha412HOChr08,112857891,8,61.05
Ha412HOChr03,179000503,3,74.38
Ha412HOChr11,19107041,11,38.23
Ha412HOChr03,144555314,3,55.05
Ha412HOChr15,4359191,15,13.65
Ha412HOChr16,4391596,16,8.08
Ha412HOChr01,131542623,1,34.08
Ha412HOChr12,3867219,12,28.61
Ha412HOChr11,197828800,11,96.44
Ha412HOChr09,131036184,9,31.45
Ha412HOChr15,9381388,15,25.78
Ha412HOChr14,153211981,14,27.96
Ha412HOChr02,45692945,2,23.37
Ha412HOChr08,7791720,8,19.55
Ha412HOChr17,12102704,17,35.50
Ha412HOChr14,153241321,14,4.15
Ha412HOChr02,2000461,14,4.15
Ha412HOChr08,344190,8,0.00
Ha412HOChr03,42465393,3,27.41
Ha412HOChr05,144601762,5,38.01
Ha412HOChr04,184029588,4,46.31
Ha412HOChr11,1558752,11,1.75
Ha412HOChr13,158727204,13,53.95
Ha412HOChr12,30037825,12,42.70
Ha412HOChr01,56469800,1,13.22
Ha412HOChr17,169149503,17,57.34
Ha412HOChr04,191515554,4,49.80
Ha412HOChr05,184622891,5,77.54
Ha412HOChr07,151230332,7,34.62
Ha412HOChr02,104430206,2,25.01
Ha412HOChr03,176428574,3,74.38
Ha412HOChr15,181416374,15,77.87
Ha412HOChr17,7072842,17,26.98
Ha412HOChr14,5690376,14,0.00
Ha412HOChr04,52687231,4,39.32
Ha412HOChr07,20404415,15,57.45
Ha412HOChr04,192345980,4,50.02
Ha412HOChr13,175158035,13,95.78
Ha412HOChr11,9554268,11,25.99
Ha412HOChr04,191567625,4,50.02
Ha412HOChr04,181767993,4,46.09
Ha412HOChr05,168812098,5,45.76
Ha412HOChr05,170206061,5,46.85
Ha412HOChr17,163785102,17,56.25
Ha412HOChr13,172998870,13,87.59
Ha412HOChr03,47950736,3,27.52
Ha412HOChr16,205729785,16,78.96
Ha412HOChr08,37521879,8,42.27
Ha412HOChr17,203408058,9,26.21
Ha412HOChr09,170272249,9,26.21
Ha412HOChr10,138014456,10,37.68
Ha412HOChr06,99391827,6,67.28
Ha412HOChr04,605325,8,30.36
Ha412HOChr15,181456716,15,78.09
Ha412HOChr14,152506778,14,27.96
Ha412HOChr04,1628539,4,9.61
Ha412HOChr16,1746041,16,2.29
Ha412HOChr15,106097414,15,59.63
Ha412HOChr08,20761331,8,33.53
Ha412HOChr15,12830627,9,26.65
Ha412HOChr01,113651823,1,29.71
Ha412HOChr06,151058632,6,67.82
Ha412HOChr07,149271830,7,26.76
Ha412HOChr05,168803537,5,45.76
Ha412HOChr06,4749794,6,17.80
Ha412HOChr04,36487597,4,37.79
Ha412HOChr04,217884600,4,95.46
Ha412HOChr04,186222843,4,47.84
Ha412HOChr08,100459263,8,58.32
Ha412HOChr04,204523414,6,41.61
Ha412HOChr16,43875800,16,46.64
Ha412HOChr14,181779379,14,52.97
Ha412HOChr09,18777013,9,18.13
Ha412HOChr12,11534326,12,33.20
Ha412HOChr01,56478605,1,13.22
Ha412HOChr02,31394030,2,21.84
Ha412HOChr03,26375791,3,24.25
Ha412HOChr15,41075064,15,46.74
Ha412HOChr12,15512216,9,23.26
Ha412HOChr16,112164432,16,48.06
Ha412HOChr15,3443073,1,33.20
Ha412HOChr01,130706617,1,33.20
Ha412HOChr09,20835349,9,18.79
Ha412HOChr06,155096286,6,69.68
Ha412HOChr16,214120879,16,96.55
Ha412HOChr09,12155270,9,16.49
Ha412HOChr08,23078495,8,34.95
Ha412HOChr15,10205473,8,28.18
Ha412HOChr15,7211320,15,23.26
Ha412HOChr02,43110337,2,22.94
Ha412HOChr15,18726673,15,38.44
Ha412HOChr15,61022451,15,53.52
Ha412HOChr12,45897371,12,48.16
Ha412HOChr12,9710451,12,2.29
Ha412HOChr03,115018440,3,32.87
Ha412HOChr14,150959746,14,27.41
Ha412HOChr08,13746486,8,29.27
Ha412HOChr10,156607329,10,40.08
Ha412HOChr14,119225760,14,13.32
Ha412HOChr13,124940833,4,35.06
Ha412HOChr15,41909785,15,47.29
Ha412HOChr12,20404401,12,40.52
Ha412HOChr15,8749321,15,24.57
Ha412HOChr04,29045243,4,35.28
Ha412HOChr01,151034609,1,56.57
Ha412HOChr16,12785216,16,37.90
Ha412HOChr16,133661884,16,52.21
Ha412HOChr11,39771214,5,60.94
Ha412HOChr01,136890617,1,37.68
Ha412HOChr17,1303032,17,0.22
Ha412HOChr06,11033163,6,31.13
Ha412HOChr08,61781668,5,70.77
Ha412HOChr13,130211678,13,47.18
Ha412HOChr03,176773310,3,74.38
Ha412HOChr14,6742132,14,1.75
Ha412HOChr01,60471800,1,14.31
Ha412HOChr04,656153,4,1.20
Ha412HOChr04,185817909,4,13.11
Ha412HOChr03,177631039,3,74.38
Ha412HOChr10,20544870,10,27.41
Ha412HOChr14,145053520,14,24.90
Ha412HOChr13,165618678,13,70.55
Ha412HOChr02,173515834,2,40.30
Ha412HOChr04,170019604,4,44.89
Ha412HOChr04,198925319,4,53.84
Ha412HOChr15,10219458,15,29.27
Ha412HOChr14,183748571,14,59.85
Ha412HOChr02,63145913,2,24.79
Ha412HOChr17,4954345,17,16.27
Ha412HOChr01,140918889,1,43.69
Ha412HOChr03,1955287,3,1.75
Ha412HOChr11,7450716,11,20.64
Ha412HOChr10,10426808,10,18.89
Ha412HOChr01,112794196,1,29.71
Ha412HOChr07,159742892,7,67.50
Ha412HOChr09,167736713,9,46.09
Ha412HOChr03,170457638,2,25.01
Ha412HOChr13,159101384,13,54.28
Ha412HOChr03,9743624,3,15.18
Ha412HOChr09,198700131,9,87.92
Ha412HOChr08,20840709,8,33.53
Ha412HOChr07,99427639,7,11.47
Ha412HOChr14,162747679,3,29.38
Ha412HOChr14,178078653,16,47.07
Ha412HOChr08,42179668,16,46.85
Ha412HOChr14,111801326,11,20.64
Ha412HOChr15,177653321,15,76.78
Ha412HOChr16,133778166,16,52.21
Ha412HOChr11,12695169,11,33.97
Ha412HOChr08,26693718,8,38.23
Ha412HOChr01,154061138,1,61.38
Ha412HOChr16,11110041,16,30.91
Ha412HOChr08,129255888,8,64.44
Ha412HOChr04,190642098,10,12.01
Ha412HOChr10,5423954,10,12.01
Ha412HOChr08,28173986,8,39.43
Ha412HOChr16,189441802,16,64.33
Ha412HOChr01,75272638,1,19.44
Ha412HOChr12,10355637,12,0.22
Ha412HOChr02,27732557,2,20.97
Ha412HOChr04,33176691,4,37.57
Ha412HOChr16,118237284,16,48.71
Ha412HOChr07,159212732,7,64.98
Ha412HOChr09,137203911,9,34.84
Ha412HOChr13,15446578,13,6.66
Ha412HOChr09,197541532,9,83.44
Ha412HOChr03,81466482,3,28.07
Ha412HOChr03,175363680,3,74.38
Ha412HOChr09,199515129,9,89.89
Ha412HOChr13,117100242,13,44.45
Ha412HOChr09,11984719,9,15.84
Ha412HOChr13,82473295,13,18.02
Ha412HOChr08,114286972,8,61.93
Ha412HOChr08,15568168,8,30.36
Ha412HOChr09,123459039,9,26.21
Ha412HOChr06,90621484,6,67.28
Ha412HOChr12,19124396,12,39.43
Ha412HOChr16,207566268,16,80.38
Ha412HOChr10,14381052,10,24.57
Ha412HOChr16,163326325,16,58.21
Ha412HOChr01,65595790,14,6.12
Ha412HOChr01,52246135,1,11.47
Ha412HOChr03,18695830,3,21.19
Ha412HOChr13,84425861,13,20.42
Ha412HOChr10,190598295,13,22.61
Ha412HOChr07,159865661,7,68.37
Ha412HOChr06,99271203,6,67.28
Ha412HOChr14,188001492,14,73.83
Ha412HOChr06,66954678,6,65.09
Ha412HOChr06,4637027,6,17.80
Ha412HOChr12,38626979,12,47.18
Ha412HOChr03,171870665,3,74.38
Ha412HOChr12,59516130,12,49.37
Ha412HOChr10,22196515,15,15.18
Ha412HOChr15,13396980,15,34.18
Ha412HOChr01,96482730,3,74.38
Ha412HOChr06,28367264,6,55.05
Ha412HOChr05,150407390,5,38.34
Ha412HOChr09,172025852,9,48.16
Ha412HOChr04,212234975,4,61.60
Ha412HOChr08,1892694,8,7.10
Ha412HOChr08,118410317,8,62.80
Ha412HOChr09,46416261,9,21.08
Ha412HOChr03,178377706,3,74.38
Ha412HOChr16,56174299,16,46.96
Ha412HOChr12,12539957,12,34.62
Ha412HOChr12,19378332,12,39.86
Ha412HOChr01,52241505,1,11.47
Ha412HOChr12,68578524,12,54.39
Ha412HOChr09,4049598,9,1.20
Ha412HOChr03,175595666,3,73.94
Ha412HOChr07,151185836,7,34.40
Ha412HOChr17,3733842,5,6.23
Ha412HOChr12,174079920,14,13.11
Ha412HOChr07,97845908,7,11.03
Ha412HOChr14,187177722,14,71.43
Ha412HOChr03,7070211,9,23.26
Ha412HOChr14,117388093,14,13.11
Ha412HOChr09,193254930,9,69.90
Ha412HOChr17,171069509,17,57.34
Ha412HOChr14,1745645,14,0.00
Ha412HOChr01,9038026,1,10.16
Ha412HOChr03,5456318,3,10.92
Ha412HOChr14,146118836,14,25.12
Ha412HOChr13,13465944,13,6.66
Ha412HOChr17,205401298,17,80.06
Ha412HOChr09,128102008,9,29.05
Ha412HOChr13,174696841,13,94.69
Ha412HOChr10,170127145,10,44.67
Ha412HOChr09,152242911,9,23.26
Ha412HOChr15,29604606,15,40.63
Ha412HOChr03,177549951,3,74.38
Ha412HOChr10,113597870,1,10.16
Ha412HOChr07,157347117,13,58.98
Ha412HOChr01,133752688,1,35.50
Ha412HOChr17,190892096,17,49.48
Ha412HOChr09,167694251,15,73.61
Ha412HOChr16,192629689,16,64.87
Ha412HOChr11,870025,11,0.00
Ha412HOChr09,109785643,9,24.03
Ha412HOChr02,142424005,2,26.32
Ha412HOChr06,25905161,6,52.42
Ha412HOChr05,11494129,5,23.04
Ha412HOChr09,7947996,9,13.11
Ha412HOChr02,137788394,2,26.10
Ha412HOChr03,168571137,3,74.38
Ha412HOChr15,6540496,15,18.46
Ha412HOChr14,181143094,14,52.21
Ha412HOChr14,167611413,14,33.42
Ha412HOChr12,5938831,12,19.88
Ha412HOChr01,8593912,1,10.16
Ha412HOChr11,153379047,5,16.38
Ha412HOChr03,28680917,3,25.23
Ha412HOChr05,14459992,5,26.98
Ha412HOChr06,7440097,6,22.61
Ha412HOChr05,7900243,5,16.38
Ha412HOChr17,6407631,5,16.38
Ha412HOChr14,26443563,14,3.71
Ha412HOChr08,89035181,8,53.41
Ha412HOChr11,46831578,11,45.22
Ha412HOChr10,4801241,10,9.72
Ha412HOChr14,112667486,14,10.81
Ha412HOChr07,97104958,7,11.03
Ha412HOChr16,164582045,16,58.65
Ha412HOChr02,157698936,2,30.47
Ha412HOChr03,101296313,3,28.94
Ha412HOChr15,122038325,7,22.17
Ha412HOChr14,186724341,14,69.90
Ha412HOChr04,208759852,4,60.18
Ha412HOChr11,10626084,11,31.13
Ha412HOChr07,147867868,1,45.22
Ha412HOChr02,166116028,12,42.27
Ha412HOChr11,2516441,11,7.65
Ha412HOChr14,138945215,14,20.53
Ha412HOChr15,983736,15,2.18
Ha412HOChr01,113978576,1,29.93
Ha412HOChr07,138489224,7,19.33
Ha412HOChr05,173758451,5,50.02
Ha412HOChr09,197378258,9,81.80
Ha412HOChr10,190273782,10,12.01
Ha412HOChr12,5448905,12,23.59
Ha412HOChr04,33211420,4,37.57
Ha412HOChr01,23333778,9,33.64
Ha412HOChr05,135952055,9,33.64
Ha412HOChr08,12381868,8,28.40
Ha412HOChr01,1752412,1,2.51
Ha412HOChr06,140145814,5,89.23
Ha412HOChr02,63734381,2,24.79
Ha412HOChr11,44177067,5,89.23
Ha412HOChr03,160931892,3,74.16
Ha412HOChr14,143447331,14,24.03
Ha412HOChr15,39540164,15,46.31
Ha412HOChr12,4961227,12,26.76
Ha412HOChr08,22059635,8,34.62
Ha412HOChr15,185507909,9,89.67
Ha412HOChr15,41573588,15,47.07
Ha412HOChr03,153219536,3,62.47
Ha412HOChr16,152208663,16,55.59
Ha412HOChr09,186902661,17,7.75
Ha412HOChr03,144138254,17,7.75
Ha412HOChr02,14485456,2,10.05
Ha412HOChr05,101897787,8,44.12
Ha412HOChr02,181320652,2,57.01
Ha412HOChr07,153797479,7,43.03
Ha412HOChr07,101414217,7,11.47
Ha412HOChr02,183861806,2,66.62
Ha412HOChr03,152023718,3,58.65
Ha412HOChr05,177810441,5,56.03
Ha412HOChr05,35033227,5,31.78
Ha412HOChr04,20975930,4,32.00
Ha412HOChr03,155183726,3,67.17
Ha412HOChr02,183523675,2,65.09
Ha412HOChr09,196191008,9,78.09
Ha412HOChr12,11535702,12,33.20
Ha412HOChr04,201292044,4,55.15
Ha412HOChr07,155905761,13,64.22
Ha412HOChr14,130881098,14,18.57
Ha412HOChr14,125330283,14,16.27
Ha412HOChr09,145417286,9,41.28
Ha412HOChr03,178382197,3,74.38
Ha412HOChr14,37002132,14,4.15
Ha412HOChr01,13449028,1,10.38
Ha412HOChr14,119524120,14,13.32
Ha412HOChr09,132235339,9,31.45
Ha412HOChr01,108576783,1,29.27
Ha412HOChr08,9968138,8,26.10
Ha412HOChr06,87088594,6,66.08
Ha412HOChr15,3633922,15,12.78
Ha412HOChr09,129025709,9,30.36
Ha412HOChr09,124348488,9,26.65
Ha412HOChr05,10146327,5,22.06
Ha412HOChr12,35551293,12,45.87
Ha412HOChr05,8391474,5,19.88
Ha412HOChr17,6414849,17,25.56
Ha412HOChr17,1735085,17,1.42
Ha412HOChr04,6583103,4,22.17
Ha412HOChr07,156136687,7,56.25
Ha412HOChr12,8782287,12,7.10
Ha412HOChr13,171698198,13,80.17
Ha412HOChr11,178991866,11,59.09
Ha412HOChr01,9496612,1,10.16
Ha412HOChr16,149676985,16,54.06
Ha412HOChr16,8778535,16,25.45
Ha412HOChr14,143447838,14,24.03
Ha412HOChr04,212158886,4,61.16
Ha412HOChr05,181720657,5,71.43
Ha412HOChr17,6410000,17,25.56
Ha412HOChr15,18475380,15,38.23
Ha412HOChr02,8813107,2,2.62
Ha412HOChr16,18345396,16,42.05
Ha412HOChr06,128670428,8,48.71
Ha412HOChr06,19159256,6,47.95
Ha412HOChr16,206704532,16,80.17
Ha412HOChr05,1980675,5,4.48
Ha412HOChr14,187789502,14,72.74
Ha412HOChr09,109660762,9,24.03
Ha412HOChr02,176812123,2,44.56
Ha412HOChr17,176812743,17,59.20
Ha412HOChr11,804727,11,0.00
Ha412HOChr14,39253065,14,4.15
Ha412HOChr07,1382226,7,0.00
Ha412HOChr05,180785425,5,64.77
Ha412HOChr07,92833585,7,10.59
Ha412HOChr14,174688952,11,41.28
Ha412HOChr08,23625848,8,35.17
Ha412HOChr03,21368563,3,22.50
Ha412HOChr13,163935439,13,54.72
Ha412HOChr03,145906753,3,56.47
Ha412HOChr09,132940870,9,31.89
Ha412HOChr16,120487196,16,48.93
Ha412HOChr14,95182966,14,6.12
Ha412HOChr12,4929980,12,26.76
Ha412HOChr14,128152163,14,17.80
Ha412HOChr11,3797380,11,10.27
Ha412HOChr10,5760952,10,12.56
Ha412HOChr03,139158904,3,45.65
Ha412HOChr16,78329560,16,47.73
Ha412HOChr03,19526691,3,22.06
Ha412HOChr06,41862624,6,60.07
Ha412HOChr08,43745377,8,44.12
Ha412HOChr07,98343091,7,11.03
